2024-07-26 14:07:312 INFO  ManageBrowser :33 - Clicking on blog post 'The Hidden Treasures of Egypt-Themed Slots' [[ChromeDriver: chrome on windows (e817b2a7f0efd71ec6d6b889c7c5cf6b)] -> xpath: //div[@class='StyledBlogGrid-sc-bw5rq7-2 cbZomE']//h3[@class='StyledTitle-sc-18zd085-3 xEXYN'][normalize-space()='The Hidden Treasures of Egypt-Themed Slots']]
2024-07-26 14:07:176 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-26 14:07:480 INFO  ManageBrowser :28 - Clicking on All Cookies Button [[ChromeDriver: chrome on windows (5ee155309590e96be0fbfa0d341393d7)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-07-26 14:07:773 INFO  ManageBrowser :33 - Clicking on blog link [[ChromeDriver: chrome on windows (5ee155309590e96be0fbfa0d341393d7)] -> link text: Blog]
2024-07-26 14:07:180 INFO  ManageBrowser :27 - Verify the welcome text 'Welcome to the Virgin Games Blog' [[ChromeDriver: chrome on windows (5ee155309590e96be0fbfa0d341393d7)] -> xpath: //div[@class='StyledBlogGrid-sc-bw5rq7-2 cbZomE']//h3[@class='StyledTitle-sc-18zd085-3 xEXYN'][normalize-space()='The Hidden Treasures of Egypt-Themed Slots']]
2024-07-26 14:07:320 INFO  ManageBrowser :33 - Clicking on blog post 'The Hidden Treasures of Egypt-Themed Slots' [[ChromeDriver: chrome on windows (5ee155309590e96be0fbfa0d341393d7)] -> xpath: //div[@class='StyledBlogGrid-sc-bw5rq7-2 cbZomE']//h3[@class='StyledTitle-sc-18zd085-3 xEXYN'][normalize-space()='The Hidden Treasures of Egypt-Themed Slots']]
2024-07-26 14:07:82 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-26 14:07:162 INFO  ManageBrowser :28 - Clicking on All Cookies Button [[ChromeDriver: chrome on windows (62d5445d000461d0940cb63a104a561b)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-07-26 14:07:252 INFO  ManageBrowser :33 - Clicking on blog link [[ChromeDriver: chrome on windows (62d5445d000461d0940cb63a104a561b)] -> link text: Blog]
2024-07-26 14:07:640 INFO  ManageBrowser :27 - Verify the welcome text 'Welcome to the Virgin Games Blog' [[ChromeDriver: chrome on windows (62d5445d000461d0940cb63a104a561b)] -> xpath: //div[@class='StyledBlogGrid-sc-bw5rq7-2 cbZomE']//h3[@class='StyledTitle-sc-18zd085-3 xEXYN'][normalize-space()='The Hidden Treasures of Egypt-Themed Slots']]
2024-07-26 14:07:720 INFO  ManageBrowser :33 - Clicking on blog post 'The Hidden Treasures of Egypt-Themed Slots' [[ChromeDriver: chrome on windows (62d5445d000461d0940cb63a104a561b)] -> xpath: //div[@class='StyledBlogGrid-sc-bw5rq7-2 cbZomE']//h3[@class='StyledTitle-sc-18zd085-3 xEXYN'][normalize-space()='The Hidden Treasures of Egypt-Themed Slots']]
2024-07-26 14:07:473 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-26 14:07:733 INFO  ManageBrowser :28 - Clicking on All Cookies Button [[ChromeDriver: chrome on windows (21a0edc5650bc49f64a67856c352d651)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-07-26 14:07:17 INFO  ManageBrowser :33 - Clicking on blog link [[ChromeDriver: chrome on windows (21a0edc5650bc49f64a67856c352d651)] -> link text: Blog]
2024-07-26 14:07:355 INFO  ManageBrowser :27 - Verify the welcome text 'Welcome to the Virgin Games Blog' [[ChromeDriver: chrome on windows (21a0edc5650bc49f64a67856c352d651)] -> xpath: //div[@class='StyledBlogGrid-sc-bw5rq7-2 cbZomE']//h3[@class='StyledTitle-sc-18zd085-3 xEXYN'][normalize-space()='The Hidden Treasures of Egypt-Themed Slots']]
2024-07-26 14:07:460 INFO  ManageBrowser :33 - Clicking on blog post 'The Hidden Treasures of Egypt-Themed Slots' [[ChromeDriver: chrome on windows (21a0edc5650bc49f64a67856c352d651)] -> xpath: //div[@class='StyledBlogGrid-sc-bw5rq7-2 cbZomE']//h3[@class='StyledTitle-sc-18zd085-3 xEXYN'][normalize-space()='The Hidden Treasures of Egypt-Themed Slots']]
2024-07-26 14:07:54 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-26 14:07:867 INFO  ManageBrowser :28 - Clicking on All Cookies Button [[ChromeDriver: chrome on windows (f90f85de3ef3197c45b4959edac37f41)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-07-26 14:07:47 INFO  ManageBrowser :33 - Clicking on blog link [[ChromeDriver: chrome on windows (f90f85de3ef3197c45b4959edac37f41)] -> link text: Blog]
2024-07-26 14:07:73 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-26 14:07:760 INFO  ManageBrowser :28 - Clicking on All Cookies Button [[ChromeDriver: chrome on windows (168e55765549f4677652ed6b1de82dab)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-07-26 14:07:304 INFO  ManageBrowser :33 - Clicking on blog link [[ChromeDriver: chrome on windows (168e55765549f4677652ed6b1de82dab)] -> link text: Blog]
2024-07-26 14:07:986 INFO  ManageBrowser :33 - Clicking on blog post 'The Hidden Treasures of Egypt-Themed Slots' [[ChromeDriver: chrome on windows (168e55765549f4677652ed6b1de82dab)] -> xpath: //div[@class='StyledBlogGrid-sc-bw5rq7-2 cbZomE']//h3[@class='StyledTitle-sc-18zd085-3 xEXYN'][normalize-space()='The Hidden Treasures of Egypt-Themed Slots']]
2024-07-26 14:07:61 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-26 14:07:623 INFO  ManageBrowser :28 - Clicking on All Cookies Button [[ChromeDriver: chrome on windows (496873efb1af0704379e57b362a271b3)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-07-26 14:07:834 INFO  ManageBrowser :33 - Clicking on blog link [[ChromeDriver: chrome on windows (496873efb1af0704379e57b362a271b3)] -> link text: Blog]
2024-07-26 14:07:628 INFO  ManageBrowser :27 - Verify the welcome text 'Welcome to the Virgin Games Blog' [[ChromeDriver: chrome on windows (496873efb1af0704379e57b362a271b3)] -> xpath: //div[@class='StyledBlogGrid-sc-bw5rq7-2 cbZomE']//h3[@class='StyledTitle-sc-18zd085-3 xEXYN'][normalize-space()='The Hidden Treasures of Egypt-Themed Slots']]
2024-07-26 14:07:777 INFO  ManageBrowser :33 - Clicking on blog post 'The Hidden Treasures of Egypt-Themed Slots' [[ChromeDriver: chrome on windows (496873efb1af0704379e57b362a271b3)] -> xpath: //div[@class='StyledBlogGrid-sc-bw5rq7-2 cbZomE']//h3[@class='StyledTitle-sc-18zd085-3 xEXYN'][normalize-space()='The Hidden Treasures of Egypt-Themed Slots']]
2024-07-26 15:07:211 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-26 15:07:65 INFO  ManageBrowser :28 - Clicking on All Cookies Button [[ChromeDriver: chrome on windows (0635742ec14f2b99ba0902a194ce498f)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-07-26 15:07:630 INFO  ManageBrowser :33 - Clicking on blog link [[ChromeDriver: chrome on windows (0635742ec14f2b99ba0902a194ce498f)] -> link text: Blog]
2024-07-26 15:07:158 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-26 15:07:613 INFO  ManageBrowser :28 - Clicking on All Cookies Button [[ChromeDriver: chrome on windows (ff36ee44f46261a792b253134932b5ed)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-07-26 15:07:14 INFO  ManageBrowser :33 - Clicking on blog link [[ChromeDriver: chrome on windows (ff36ee44f46261a792b253134932b5ed)] -> link text: Blog]
2024-07-26 15:07:500 INFO  ManageBrowser :27 - Verify the welcome text 'Welcome to the Virgin Games Blog' [[ChromeDriver: chrome on windows (ff36ee44f46261a792b253134932b5ed)] -> xpath: //div[@class='StyledBlogGrid-sc-bw5rq7-2 cbZomE']//h3[@class='StyledTitle-sc-18zd085-3 xEXYN'][normalize-space()='The Hidden Treasures of Egypt-Themed Slots']]
2024-07-26 15:07:644 INFO  ManageBrowser :33 - Clicking on blog post 'The Hidden Treasures of Egypt-Themed Slots' [[ChromeDriver: chrome on windows (ff36ee44f46261a792b253134932b5ed)] -> xpath: //div[@class='StyledBlogGrid-sc-bw5rq7-2 cbZomE']//h3[@class='StyledTitle-sc-18zd085-3 xEXYN'][normalize-space()='The Hidden Treasures of Egypt-Themed Slots']]
2024-07-26 15:07:846 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-26 15:07:706 INFO  ManageBrowser :28 - Clicking on All Cookies Button [[ChromeDriver: chrome on windows (d62a0c16debfda6f67edca681c625d0f)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-07-26 15:07:989 INFO  ManageBrowser :33 - Clicking on blog link [[ChromeDriver: chrome on windows (d62a0c16debfda6f67edca681c625d0f)] -> link text: Blog]
2024-07-26 15:07:961 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-26 15:07:16 INFO  ManageBrowser :28 - Clicking on All Cookies Button [[ChromeDriver: chrome on windows (ecc7462afd1d53aeff5484e10ec7ee47)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-07-26 15:07:501 INFO  ManageBrowser :33 - Clicking on blog link [[ChromeDriver: chrome on windows (ecc7462afd1d53aeff5484e10ec7ee47)] -> link text: Blog]
2024-07-26 15:07:844 INFO  ManageBrowser :33 - Clicking on blog post 'The Hidden Treasures of Egypt-Themed Slots' [[ChromeDriver: chrome on windows (ecc7462afd1d53aeff5484e10ec7ee47)] -> xpath: //div[@class='StyledBlogGrid-sc-bw5rq7-2 cbZomE']//h3[@class='StyledTitle-sc-18zd085-3 xEXYN'][normalize-space()='The Hidden Treasures of Egypt-Themed Slots']]
